id,name,display_name,formatted_address,short_formatted_address,postal_code,latitude,longitude,rating,user_rating_count,price_level,price_range_start,price_range_start_currency,price_range_end,price_range_end_currency,primary_type,takeout,delivery,dine_in,curbside_pickup,reservable,serves_breakfast,serves_lunch,serves_dinner,serves_beer,serves_wine,serves_brunch,serves_vegetarian_food,outdoor_seating,live_music,menu_for_children,serves_cocktails,serves_dessert,serves_coffee,good_for_children,allows_dogs,restroom,good_for_groups,good_for_watching_sports,accepts_debit_cards,accepts_cash_only,accepts_nfc,free_parking_lot,free_street_parking,valet_parking,wheelchair_accessible_parking,wheelchair_accessible_entrance,wheelchair_accessible_restroom,wheelchair_accessible_seating
ChIJD_Iteo1bwokRvCPy9I-S9Ds,places/ChIJD_Iteo1bwokRvCPy9I-S9Ds,Malibu Farm,"89 South St, New York, NY 10038, USA","89 South St, New York",10038,40.705759,-74.001505,4.1,1021,PRICE_LEVEL_MODERATE,,,,,Restaurant,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,,True,True,False,True,False,True,,True,,,True,True,True
ChIJX5C1o-9bwokR_m9JSiKFuDg,places/ChIJX5C1o-9bwokR_m9JSiKFuDg,Cobble Fish,"89 South St Pier 16, New York, NY 10038, USA","89 South St Pier 16, New York",10038,40.705158399999995,-74.0024584,4.5,350,,20,USD,30,USD,Seafood Restaurant,True,True,True,,,,True,True,True,True,,,True,True,,True,True,True,,,True,,,True,False,True,,,,,True,True,True
ChIJaQMrze1bwokR2ss68b75O3E,places/ChIJaQMrze1bwokR2ss68b75O3E,Mister Dips,"89 South St, New York, NY 10038, USA","89 South St, New York",10038,40.7055637,-74.00190429999999,4.3,415,PRICE_LEVEL_MODERATE,10,USD,20,USD,Hamburger Restaurant,True,True,True,,False,,True,True,True,True,,,False,False,,,True,,True,,True,,False,True,False,True,,,False,False,True,True,
ChIJ-fwYtzdbwokREcJm1DEhc_Y,places/ChIJ-fwYtzdbwokREcJm1DEhc_Y,abcV at Tin Building,"96 South St, New York, NY 10038, USA","96 South St, New York",10038,40.706095999999995,-74.0023185,4.4,137,PRICE_LEVEL_MODERATE,50,USD,100,USD,Vegetarian Restaurant,True,True,True,,True,,True,True,,True,True,True,,False,,True,True,,,,True,,False,True,False,True,,,,False,True,True,True
ChIJ6dferj1awokRTCNg5ZybHp8,places/ChIJ6dferj1awokRTCNg5ZybHp8,Luchadores NYC,"87 South St, New York, NY 10038, USA","87 South St, New York",10038,40.7058102,-74.00406819999999,4.3,831,PRICE_LEVEL_INEXPENSIVE,10,USD,20,USD,Mexican Restaurant,True,True,True,False,False,,True,True,True,False,False,True,True,False,False,False,False,False,True,True,True,,True,True,False,True,,False,,False,True,,
ChIJ6QIQ_VJbwokRRG0C8fzZBWI,places/ChIJ6QIQ_VJbwokRRG0C8fzZBWI,Heineken Riverdeck,"89 South St, New York, NY 10038, USA","89 South St, New York",10038,40.7057717,-74.0017925,4.5,45,,,,,,Bar,,False,True,,,,,,True,True,,,True,,,True,,,,,True,True,,True,False,True,,,,,True,True,
ChIJ3Q83l3lbwokRZV4WQSAs8Fk,places/ChIJ3Q83l3lbwokRZV4WQSAs8Fk,Double Yolk / Burger Bar,"96 South St, New York, NY 10038, USA","96 South St, New York",10038,40.70615,-74.0023184,3.7,52,PRICE_LEVEL_MODERATE,10,USD,20,USD,Breakfast Restaurant,True,True,True,False,,True,True,,False,False,True,,,False,,False,,True,True,,True,,,True,False,True,,,False,False,True,True,True
ChIJ4UTf4zxawokRrBEWpUYo4aw,places/ChIJ4UTf4zxawokRrBEWpUYo4aw,Seaport Food Lab,"89 South St, New York, NY 10038, USA","89 South St, New York",10038,40.7057571,-74.00184089999999,4.2,26,PRICE_LEVEL_VERY_EXPENSIVE,,,,,Restaurant,True,False,True,,True,,True,True,True,True,,,False,False,False,True,False,True,,,True,,,,False,,,,,,True,True,
ChIJ18arQwBbwokRzYO8n-65f_s,places/ChIJ18arQwBbwokRzYO8n-65f_s,Old Mates Pub,"170 John St, New York, NY 10038, USA","170 John St, New York",10038,40.7060643,-74.0043451,4.8,67,,20,USD,30,USD,Pub,,,True,,,,,,True,,,,,,,,,,,,True,,,,,,,,,,,,
ChIJ3wf-UdhbwokRa1S-CsetDUM,places/ChIJ3wf-UdhbwokRa1S-CsetDUM,GITANO NYC,"89 South St, New York, NY 10038, USA","89 South St, New York",10038,40.7054623,-74.0016428,4.2,25,,50,USD,100,USD,Restaurant,False,False,True,False,,,True,True,True,,True,,,,,True,True,,,,True,,,,False,,,,,,,,
ChIJR5LLNGdZwokRiqaT4scItsk,places/ChIJR5LLNGdZwokRiqaT4scItsk,Granny Annie's Bar & Kitchen,"425 Main St, New York, NY 10044, USA","425 Main Street, 425 Main St, New York",10044,40.758608599999995,-73.9528404,4.4,750,PRICE_LEVEL_MODERATE,20,USD,30,USD,Restaurant,True,True,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,True,True,True,True,False,True,,,False,,True,True,True
ChIJ6dvVZ9tYwokRfw7k-xvk53U,places/ChIJ6dvVZ9tYwokRfw7k-xvk53U,Starbucks,"455 Main St, New York, NY 10044, USA","455, 455 Main St, New York",10044,40.7593761,-73.9528526,4.1,927,PRICE_LEVEL_MODERATE,1,USD,10,USD,Coffee Shop,True,True,True,,False,True,True,False,False,False,True,False,True,False,False,False,True,True,True,False,True,,False,True,False,True,,,False,False,True,True,True
ChIJp438w91ZwokRZhYckESWNxs,places/ChIJp438w91ZwokRZhYckESWNxs,Piccolo Trattoria Ristorante Pizzeria,"455 Main St, New York, NY 10044, USA","455, 455 Main St, New York",10044,40.7592235,-73.9526052,4.3,412,PRICE_LEVEL_INEXPENSIVE,10,USD,20,USD,Italian Restaurant,True,True,True,,True,False,True,True,True,True,,,True,False,,,True,True,True,True,True,,True,True,False,True,,True,False,False,True,,True
ChIJH9FjFdtYwokRFEGuaetY-9U,places/ChIJH9FjFdtYwokRFEGuaetY-9U,Fuji East Japanese Bistro,"455 Main St, New York, NY 10044, USA","455, 455 Main St, New York",10044,40.7590777,-73.9523339,4.1,481,PRICE_LEVEL_MODERATE,,,,,Japanese Restaurant,True,True,True,,True,False,True,True,True,True,,True,True,False,False,,True,False,True,False,True,True,False,True,False,True,,,False,,True,,True
ChIJA3xRvKNZwokR5IuEvY1ykCw,places/ChIJA3xRvKNZwokR5IuEvY1ykCw,Nathan's Famous,"405 Main St, Roosevelt Island, NY 10044, USA","405 Main St, Roosevelt Island",10044,40.757410799999995,-73.9544456,3.1,30,PRICE_LEVEL_INEXPENSIVE,1,USD,10,USD,American Restaurant,True,True,,,,,True,True,,,,False,,False,,,,,True,,,,,,,,,,,,,,
ChIJs3RjhINZwokRkUEPXJbuADg,places/ChIJs3RjhINZwokRkUEPXJbuADg,Dahla exclusive,"888 Main St #314, New York, NY 10044, USA","888 Main St #314, New York",10044,40.757285599999996,-73.9550412,,,,,,,,Restaurant,True,True,True,True,,True,True,True,,,,,,,,,True,True,,,True,True,,,,,,,,,,,
ChIJZX7S-gBZwokRkB7hCr19Elk,places/ChIJZX7S-gBZwokRkB7hCr19Elk,Vin Sur Vingt Wine Bar - Riverside Blvd,"100 Riverside Blvd, New York, NY 10069, USA","100 Riverside Blvd, New York",10069,40.7756885,-73.98985909999999,4.5,106,PRICE_LEVEL_MODERATE,,,,,Wine Bar,True,,True,,True,,,,False,True,,,True,False,,False,,,False,,True,True,False,True,False,True,,,,,True,True,True
ChIJix9FO6lbwokRkZyFzr3vOeg,places/ChIJix9FO6lbwokRkZyFzr3vOeg,Randolph Beer,"82 Prospect St, Brooklyn, NY 11201, USA","82 Prospect St, Brooklyn",11201,40.7005446,-73.9874945,4.3,579,PRICE_LEVEL_MODERATE,20,USD,30,USD,Pub,True,True,True,True,True,,,,True,True,,,True,False,False,True,,,,False,True,,True,True,False,True,,True,False,False,True,True,True
ChIJK6ptFFVbwokR601x2txnoB0,places/ChIJK6ptFFVbwokR601x2txnoB0,ippudo V,"117 Adams St, Brooklyn, NY 11201, USA","117 Adams St, Brooklyn",11201,40.7002896,-73.9879954,4.7,136,,30,USD,50,USD,Ramen Restaurant,True,,True,,,True,True,True,True,True,True,True,,False,False,True,True,True,True,,True,,False,True,False,,,,,False,True,True,True
ChIJvTmMKIlbwokR4kIsds6yxe0,places/ChIJvTmMKIlbwokR4kIsds6yxe0,Randolph Rooftop,"82 Prospect St 12th floor, Brooklyn, NY 11201, USA","82 Prospect St 12th floor, Brooklyn",11201,40.7005446,-73.9874945,4.9,18,,20,USD,30,USD,Bar,False,False,True,False,,,,,True,,,,,,,True,,,,,True,,,,,,,,,,,,
